"自增序号","中文标题","英文标题","PDF 下载链接"
"11","多 Agent LLM 安全中的操作性重构与审批框架化委托","Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/20_Operational_Reframing_and_A.pdf"
"12","数值格式作为部署后风险面：FP4 视觉语言模型的能力-安全联合审计","Numerical Format as a Post-Deployment Risk Surface: A Joint Capability–Safety Audit of FP4 Vision–Language Models","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/21_Numerical_Format_as_a_Post_.pdf"
"13","评估受治理的 LLM 驱动 ML 实验：生命周期、溯源与失败指标","Evaluating Governed LLM-Driven ML Experimentation: Lifecycle, Provenance, and Failure Metrics","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/24_Evaluating_Governed_LLM_Dri.pdf"
"14","SolarChain-Eval：面向去中心化能源市场中可信经济 Agents 的物理约束 Benchmark","SolarChain-Eval: A Physics-Constrained Benchmark for Trustworthy Economic Agents in Decentralized Energy Markets","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/25_SolarChain_Eval_A_Physics_C.pdf"
"15","超越排行榜：面向可信 Coding-Agent 评估的协议卡","Beyond Leaderboards: Protocol Cards for Trustworthy Coding-Agent Evaluation","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/26_Beyond_Leaderboards_Protoco.pdf"
"16","PRISM：面向金融检索的 Prompt 优化上下文内系统建模","PRISM: Prompt-Refined In-Context System Modeling for Financial Retrieval","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/27_PRISM_Prompt_Refined_In_Con.pdf"
"17","DutyFormer：AI-Agent 流程 Traces 中沉默义务遗漏的神经符号预测","DutyFormer: Neural-Symbolic Prediction of Silent Obligation Omissions in AI-Agent Process Traces","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/33_DutyFormer_Neural_Symbolic_.pdf"
"18","在 Rubric 评分环境中验证 Agents","Verifying Agents in Rubric-Graded Environments","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/34_Verifying_Agents_in_Rubric_.pdf"
"19","大规模评估 Agentic 技能的框架","A Framework for Evaluating Agentic Skills at Scale","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/35_A_Framework_for_Evaluating_.pdf"
"20","NRT-Bench：安全关键控制室中 LLM 操作员 Agents 多轮 Red-Teaming Benchmark","NRT-Bench: Benchmarking Multi-Turn Red-Teaming of LLM Operator Agents in Safety-Critical Control Rooms","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/36_NRT_Bench_Benchmarking_Mult.pdf"
"21","多 Agent AI 系统中的均衡级伤害：为何个体评估会失败","Equilibrium-Level Harm in Multi-Agent AI Systems: Why Individual Evaluation Fails","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/39_Equilibrium_Level_Harm_in_M.pdf"
"22","PCBWorld：面向引擎支撑 PCB 设计自动化的 Benchmark 环境","PCBWorld: A Benchmark Environment for Engine-Grounded PCB Design Automation","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/42_PCBWorld_A_Benchmark_Enviro.pdf"
"23","Agentic AI Benchmarks 中的构念效度失效：一项实证审计","Construct Validity Failures in Agentic AI Benchmarks: An Empirical Audit","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/48_Construct_Validity_Failures%20(1).pdf"
"24","当共识并非正确性：多 Agent LLM 辩论中的多样性坍缩与制造出的过度自信","When Consensus Is Not Correctness: Diversity Collapse and Manufactured Overconfidence in Multi-Agent LLM Debate","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/49_When_Consensus_Is_Not_Corre.pdf"
"25","涌现、被引导，还是两者皆非？MoltBook Agent Society 的效度审计","Emergent, Steered, or Neither? A Validity Audit of the MoltBook Agent Society","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/52_Emergent_Steered_or_Neither.pdf"
"26","少推理，多验证：确定性 Gates 恢复工具使用型 LLM Agents 中沉默的策略违规失效模式","Reason Less, Verify More: Deterministic Gates Recover a Silent Policy-Violation Failure Mode in Tool-Using LLM Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/56_Reason_Less_Verify_More_Det.pdf"
"27","面向评估多模态规则合规性的置信度感知多 Agent 编排","Confidence-Aware Multi-Agent Orchestration for Evaluating Multimodal Rule Compliance","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/57_Confidence_Aware_Multi_Agen.pdf"
"28","ACID-Bench：审计状态变更工具 Agents 中的事务可靠性","ACID-Bench: Auditing Transactional Reliability in State-Changing Tool Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/58_ACID_Bench_Auditing_Transac.pdf"
"29","真实协调增益有多少？面向多 Agent LLM Benchmarks 的成对噪声下限协议","How Much Coordination Gain Is Real? A Paired Noise-Floor Protocol for Multi-Agent LLM Benchmarks","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/60_How_Much_Coordination_Gain_.pdf"
"30","为 Agent 评估流水线选择 LLM Judges：准确性遮蔽与评审负担权衡","Selecting LLM Judges for Agent Evaluation Pipelines: Accuracy Masking and Review-Burden Tradeoffs","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/62_Accuracy_Masking_in_LLM_as_.pdf"
"31","Guardrails 成为替罪羊：审计工具增强 LLM Agents 中不忠实的安全拒绝","Guardrails as Scapegoats: Auditing Unfaithful Safety Refusals in Tool-Augmented LLM Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/66_Guardrails_as_Scapegoats_Au.pdf"
"32","Diagnostic Knowledge Graphs：面向多步推理 Agents 的自动 Benchmark 构建与确定性评估","Diagnostic Knowledge Graphs: Automated Benchmark Construction and Deterministic Evaluation for Multi-Step Reasoning Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/67_Diagnostic_Knowledge_Graphs.pdf"
"33","基于聚类的 LLM 评估 Prompt 优化","Clustering-based Prompt Optimization for LLM Evaluation","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/71_Clustering_based_Prompt_Opt.pdf"
"34","面向可审计 Agentic 决策的可信 LLM 规则学习","Trustworthy LLM-Based Rule Learning for Auditable Agentic Decision-Making","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/72_Trustworthy_LLM_Based_Rule_.pdf"
"35","采用加速共识 SPSA 的自适应去中心化多 LLM 编排","Adaptive Decentralized Multi-LLM Orchestration with Accelerated Consensus-Based SPSA","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/73_Adaptive_Decentralized_Mult.pdf"
"36","Coding Agents 中的 Scaffold 效应：Harness 选择作为 Coding-Agent 评估中的隐藏变量","The Scaffold Effect in Coding Agents: Harness Choice as a Hidden Variable in Coding-Agent Evaluation","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/74_The_Scaffold_Effect_in_Codi.pdf"
"37","IFCMemoryBench：评估 BIM 信息检索中 LLM-Based Agents 的长期记忆","IFCMemoryBench: Evaluating Long-Term Memory of LLM-Based Agents in BIM Information Retrieval","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/76_IFCMemoryBench_Evaluating_L.pdf"
"38","以体育分析案例研究审计 Agentic 决策支持中的构念效度","Auditing Construct Validity in Agentic Decision Support with Sports Analytics Case Study","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/78_Auditing_Construct_Validity.pdf"
"39","面向 Marketplace Catalogs 的 Autoresearch：从遗留表单到 AI-Native Matching","Autoresearch for Marketplace Catalogs: From Legacy Forms to AI-Native Matching","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/79_Autoresearch_for_Marketplac.pdf"
"40","评估企业分析 Agents：一种端到端、Trace 支撑的方法论","Evaluating Enterprise Analytics Agents: An End-to-End, Trace-Backed Methodology","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/82_Evaluating_Enterprise_Analy.pdf"
"41","Agent Skills 中的跨层错位检测：一种渐进加载感知的对比学习方法","Cross-Layer Misalignment Detection in Agent Skills: A Progressive Loading-Aware Contrastive Learning Approach","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/86_Cross_Layer_Misalignment_De.pdf"
"42","Active RAG 应该何时检索？对效用、校准与成本的预算感知评估","When Should Active RAG Retrieve? A Budget-Aware Evaluation of Utility, Calibration, and Cost","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/89_When_Should_Active_RAG_Retr.pdf"
"43","Phantom Guardrails：当自我改进 Agent Harnesses 修复从未发生过的失败","Phantom Guardrails: When Self-Improving Agent Harnesses Fix Failures That Never Happened","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/90_Phantom_Guardrails_When_Sel.pdf"
"44","一种受欺诈检测启发的 LLM Agents 安全框架","A Fraud-Detection-Inspired Framework for LLM Agents Security","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/91_A_Fraud_Detection_Inspired_.pdf"
"45","Agent Benchmark 决策需要多少任务？公共 LLM Agent Benchmarks 的回放分析","How Many Tasks Are Enough for Agent Benchmark Decisions? A Replay Analysis of Public LLM Agent Benchmarks","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/92_How_Many_Tasks_Are_Enough_f.pdf"
"46","结果还不够：面向可信 Agentic 经济系统的基于 Trace 的生命周期评估","Outcome Is Not Enough: Trace-Based Lifecycle Evaluation for Trustworthy Agentic Economic Systems","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/95_Outcome_Is_Not_Enough.pdf"
"47","当聚合对齐产生误导：在没有逐状态专家动作的情况下审计 Agentic 策略修复","When Aggregate Alignment Misleads: Auditing Agentic Policy Repair Without Per-State Expert Actions","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/97_When_Aggregate_Alignment_Mi.pdf"
